Código,Nombre,Descripción,Persona
PAT-2026-026,Laptop MSI Modern 15,"Intel Core i7-1255U, 16GB RAM, 512GB SSD, pantalla 15.6"" FHD IPS, gris titanio",Gabriela Mora
PAT-2026-027,Mini PC Intel NUC 12 Pro,"Intel Core i5-1240P, 16GB RAM, 512GB SSD, HDMI x2, Thunderbolt 4, compacto",Héctor Quispe
PAT-2026-028,"Monitor Curvo Samsung 32""","Monitor VA curvo 32"" 1500R, FHD 165Hz, 1ms, FreeSync Premium, HDMI x2",Gabriela Mora
PAT-2026-029,Teclado Inalámbrico Apple Magic,"Teclado slim inalámbrico Bluetooth, recargable, compatible Windows/Mac",
PAT-2026-030,Mouse Vertical Ergonómico Anker,"Mouse ergonómico vertical 800-1600 DPI, cable USB, reduce fatiga de muñeca",Gabriela Mora
PAT-2026-031,Impresora Térmica Zebra ZD230,"Impresora de etiquetas térmica directa, 203dpi, USB + LAN, ancho 4""",Héctor Quispe
PAT-2026-032,Tablet Huawei MatePad 11,"Pantalla IPS 10.95"" 2560x1600, HarmonyOS 3, WiFi 6, stylus M-Pencil incluido",Vanessa Cruz
PAT-2026-033,Memoria RAM DDR4 16GB Kingston,"Módulo DDR4 3200MHz CL22, SODIMM para laptop, 16GB, caja sellada",
PAT-2026-034,Tarjeta Gráfica NVIDIA RTX 3060,"GPU 12GB GDDR6, PCIe 4.0, HDMI 2.1, DP x3, TDP 170W, caja abierta para rack",Héctor Quispe
PAT-2026-035,Laptop Gamer ASUS TUF F15,"Intel Core i5-12500H, 16GB RAM, 512GB SSD, RTX 3050, pantalla 144Hz",Vanessa Cruz
PAT-2026-036,Silla de Oficina Mesh Ejecutiva,"Silla ejecutiva malla transpirable, altura ajustable, soporte lumbar, negra",Gabriela Mora
PAT-2026-037,Mesa Auxiliar con Ruedas,"Mesa auxiliar rodante 2 niveles, MDF color blanco, con frenos en ruedas",
PAT-2026-038,Mueble para Impresora con Cajón,"Mueble bajo impresora melanina, cajón con llave, 60x45x50cm, color roble",
PAT-2026-039,Biombo Divisor de Ambientes,"Biombo plegable 3 cuerpos, tela gris, estructura metálica, altura 180cm",Vanessa Cruz
PAT-2026-040,Pizarra de Corcho 90x60,"Tablero de corcho enmarcado en aluminio, para avisos, 90x60cm",Héctor Quispe
PAT-2026-041,Reloj de Pared Digital,"Reloj digital LED rojo, temperatura interior, fecha, alarma, 25cm",
PAT-2026-042,Teléfono Conferencia Jabra Speak 510,"Altavoz de conferencia portátil USB/Bluetooth, micrófono 360°, para 6 personas",Gabriela Mora
PAT-2026-043,Cámara PTZ Logitech Rally,"Cámara PTZ 4K para videoconferencias, zoom óptico 15x, USB, campo 90°",Vanessa Cruz
PAT-2026-044,"Smart TV Samsung 43"" 4K","Smart TV 43"" Crystal UHD 4K, HDR, Tizen OS, Wi-Fi, 3x HDMI, AirPlay",Héctor Quispe
PAT-2026-045,Decodificador HDMI ATSC,"Decodificador señal digital ATSC/ISDB-T, salida HDMI + RCA, USB multimedia",
PAT-2026-046,Firewall Fortinet FortiGate 60F,"Firewall NGFW 10 puertos GbE, VPN SSL, IPS, 700 Mbps throughput",Vanessa Cruz
PAT-2026-047,Servidor NAS Synology DS423+,"NAS 4 bahías, Intel Celeron J4125, 4GB RAM, 2x USB 3.2, 2x 2.5GbE",Héctor Quispe
PAT-2026-048,Cable UTP Cat6 Rollo 305m,"Rollo cable UTP Cat6 sólido 305m, CMR, certificado, color azul",
PAT-2026-049,Batería de Respaldo 12V 100Ah,"Batería AGM sellada 12V 100Ah, ciclo profundo, para sistema solar/UPS",Gabriela Mora
PAT-2026-050,Panel Solar 400W Monocristalino,"Panel fotovoltaico 400W 24V, células monocristalinas, marco aluminio anodizado",
PAT-2026-051,Inversor Solar 3000W Growatt,"Inversor solar híbrido 3000W 24V MPPT 60A, WiFi monitoreo, salida 220VAC",Héctor Quispe
PAT-2026-052,Impresora 3D Creality Ender 3 V3,"Impresora 3D FDM, volumen 220x220x270mm, auto-nivelado, pantalla táctil",Vanessa Cruz
PAT-2026-053,Osciloscopio Digital Rigol DS1054Z,"Osciloscopio 4 canales, 50MHz, 1GSa/s, pantalla 7"" color, USB, FFT",Gabriela Mora
PAT-2026-054,Fuente de Alimentación Regulada 30V 5A,"Fuente regulada DC 0-30V 0-5A, display digital voltaje/corriente, doble canal",
PAT-2026-055,Kit Herramientas Redes Platinum,"Kit completo certificación redes: ponchadora, tester, pelacables, destornilladores",Vanessa Cruz
